Problem_ID,Expression,Complexity_Score,Expected_Answer,Method_Used,Actual_Answer,Is_Correct,Latency_ms,Invocations,Token_Count,CPU_Cycles,RAM_Peak_MB,Env_Status,Decision_Logic_Time
1,14 + 18 / 2 * 18 - 7,1.0,169.0,,,,,,,,,,
2,15 * 18 + 12 / 3 + 9,1.0,283.0,,,,,,,,,,
3,8 * 4 + 9 - 9 + 18,1.0,50.0,,,,,,,,,,
4,11 * 11 - 6 * 17 + 4,1.0,23.0,,,,,,,,,,
5,2 - 1 + 5 * 4 * 11,1.0,221.0,,,,,,,,,,
6,16 * 7 * 15 + 11 + 17,1.0,1708.0,,,,,,,,,,
7,10 - 9 * 24 / 8 * 6,1.0,-152.0,,,,,,,,,,
8,10 / 5 + 10 - 9 * 11,1.0,-87.0,,,,,,,,,,
9,3 * 19 * 14 + 18 / 2,1.0,807.0,,,,,,,,,,
10,10 * 12 - 14 / 2 + 15,1.0,128.0,,,,,,,,,,
11,14 / 2+2 - 1 + 5 * 4 * 11 - 1 + 3,1.9473684210526316,230.0,,,,,,,,,,
12,9 + 15-10 - 9 * 24 / 8 * 6 / 5 * 13,1.9473684210526316,-407.2,,,,,,,,,,
13,12 / 3 * 12 +11 * 11 - 6 * 17 + 4 +10,1.9473684210526316,81.0,,,,,,,,,,
14,16 * 15 / 5+2 + 24 / 8 * 6- 1 + 5 + 12,2.1842105263157894,84.0,,,,,,,,,,
15,2 * 10 + 10 - 8*10 / 5 + 10+ 5 * 4 * 11,2.1842105263157894,244.0,,,,,,,,,,
16,24 / 4 + 14 * 2/ 5 + 10 - 9 * 11 * 17 + 4,2.1842105263157894,-1657.4,,,,,,,,,,
17,11 * 10 - 12 / 3/ 4 + 14 * 2/ 3 * 12 + 10,2.1842105263157894,231.0,,,,,,,,,,
18,8 / 4 * 2 + 18* 12 - 14 / 2- 9 * 24 / 8 * 6,2.421052631578948,51.0,,,,,,,,,,
19,18- 6 * 17 + 4/ 6 + 4 * 15 - 1 + 5 * 4 * 11,2.421052631578948,195.66666666666669,,,,,,,,,,
20,2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12,2.421052631578948,197.0,,,,,,,,,,
21,(11 + 42 - 5) / (11 - 4),1.236842105263158,6.857142857142857,,,,,,,,,,
22,(17 - 3) * (14 - 6) - 22,1.236842105263158,90.0,,,,,,,,,,
23,((9 + 33 - 6) / 6) - 3^2,1.9473684210526316,-3.0,,,,,,,,,,
24,((10 + 43 - 5) / 6) + 5^2,1.9473684210526316,33.0,,,,,,,,,,
25,2 * (9 * 5 + 3^2) + 4,1.7105263157894737,112.0,,,,,,,,,,
26,(6 + 3)^2 + (9 - (10 / 5)),1.9473684210526316,88.0,,,,,,,,,,
27,(10 + 59 - 3^2) / (24 - 4),1.7105263157894737,3.0,,,,,,,,,,
28,4 * (12 * 6 - 4^2) + 9,1.7105263157894737,233.0,,,,,,,,,,
29,(19 - 8) * (10 + 4) + 8^2,1.7105263157894737,218.0,,,,,,,,,,
30,3 * (2 + (5 - 1)),1.236842105263158,18.0,,,,,,,,,,
31,18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4),3.131578947368421,21.357142857142858,,,,,,,,,,
32,(5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,2.894736842105263,-103.14285714285714,,,,,,,,,,
33,24 / (2^2) + 3 * (5 - 1)^2 *((9 + 33 - 6) / 6) - 3^2,4.078947368421053,285.0,,,,,,,,,,
34,6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2,4.078947368421053,42.0,,,,,,,,,,
35,(36 / 3)^2 - 4 * (5 + 1) / 2 * (9 * 5 + 3^2) + 4,3.3684210526315788,-500.0,,,,,,,,,,
36,7 + 2^4 * (9 - 6) / 3 * (6 + 3)^2 + (9 - (10 / 5)),3.6052631578947367,1310.0,,,,,,,,,,
37,(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4,4.078947368421053,328.0,,,,,,,,,,
38,50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4),3.3684210526315788,-36.85714285714285,,,,,,,,,,
39,(3 + 5)^2 / 4 + 6 * (7 - 3) * (17 - 3) * (14 - 6) - 22,3.131578947368421,2682.0,,,,,,,,,,
40,10 + 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)+ 6^2 / 3 - (4 - 2)+ 2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12^3,7.868421052631579,1954.357142857143,,,,,,,,,,
41,(12 - 4 * (2 + 1))^2 + 8 / 2+2 - 20 / 5 * 3 * (8 + 4^2) * (6 - (2 + 1))^2 +(36 / 3)^2 - 4 * (5 + 1) -3 * 19 * 14 + 18 / 2,8.105263157894736,-3255.0,,,,,,,,,,
42,"9 * (5 + 3) - 2^3 / (1 + 1) - (5^3 - 17) / (4 + 3) * 2 +(19 - 8) * (10 + 4) + 8^2 * (17 - 3) * (14 - 6) - 22 + 16 * 15 / 5 + 12
",7.394736842105263,7397.142857142857,,,,,,,,,,
43,(2^5 - 4^2) / 4 + 7 * 3 + 4 * (12 * 6 -18 + 6 / (3 * (2^2)) - 4+  4^2) + 9 -(19 - 8) * (10 + 4) + 8^2 + 3 * (2 + (5 - 1)),8.578947368421051,228.0,,,,,,,,,,
44,6 + (18+ (5^3 - 17) / (4 + 3) * 2 / 3)^2 - 5 * 4 + 50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4) - (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.526315789473683,584.3673469387754,,,,,,,,,,
45,(5 + 3 * (4^2 - 6))* 24 / (2^2) + 3 * (5 - 1)^2 / 2+ 3 * (2 + (5 - 1)) + (17 - 3) * (14 - 6) - 22 * (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.052631578947368,-448.8571428571429,,,,,,,,,,
46,4^2 + 12 + 2^4 + 6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2* (9 - 6)/ (3 + 1) * 5 - 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)* 6,10.0,174.39285714285714,,,,,,,,,,
47,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90)))),6.447368421052632,0.5399094444016879,,,,,,,,,,
48,tan(cos(sin(cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90))))))),8.578947368421051,0.0174550646921055,,,,,,,,,,
49,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90+ (4 + 3) * 2 +(19 - 8))))),7.868421052631579,0.5399094444016879,,,,,,,,,,
50,cos(55)+sin(30/tan(180 +(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4 )),6.684210526315789,-0.1696855819710584,,,,,,,,,,
