ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,CPU_Cycles,RAM_Peak_MB
chal-777,( 290.0 / 2.0 ),145,Common-Division,0.5,Local_Fn,145.0,1,0.03509991802275181,0.0,0
chal-508,( 30.0 - 11.0 ),19,Subtraction,0.5,Local_Fn,19.0,1,0.02340017817914486,0.0,0
chal-896,( 6.0 / 2.0 ),3,Common-Division,0.5,Local_Fn,3.0,1,0.020900042727589607,0.0,0
chal-923,( 594.0 / 3.0 ),198,Common-Division,0.5,Local_Fn,198.0,1,0.020399922505021095,0.0,0
chal-34,( 78.0 - 15.0 ),63,Subtraction,0.5,Local_Fn,63.0,1,0.020300038158893585,0.0,0
chal-484,( 412.0 - 90.0 ),322,Subtraction,0.5,Local_Fn,322.0,1,0.025700079277157784,0.0,0
chal-86,( 50.0 - 20.0 ),30,Subtraction,0.5,Local_Fn,30.0,1,0.021800165995955467,0.0,0
chal-751,( 66.0 + 126.0 ),192,Addition,0.5,Local_Fn,192.0,1,0.020700041204690933,0.0,0
chal-355,( 12.0 + 14.0 ),26,Addition,0.5,Local_Fn,26.0,1,0.02010003663599491,0.0,0
chal-524,( 34.0 / 2.0 ),17,Common-Division,0.5,Local_Fn,17.0,1,0.020099803805351257,0.0,0
chal-185,( 15.0 - 14.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.01950003206729889,0.0,0
chal-810,( 14.0 + 6.0 ),20,Addition,0.5,Local_Fn,20.0,1,0.019799917936325073,0.0,0
chal-419,( 104.0 / 26.0 ),4,Common-Division,0.5,Local_Fn,4.0,1,0.01950003206729889,0.0,0
chal-616,( 7.0 - ( 3.0 + 2.0 ) ),2,Subtraction,1.0,Local_Fn,2.0,1,0.022200169041752815,0.0,0
chal-683,( 91.0 / 13.0 ),7,Common-Division,0.5,Local_Fn,7.0,1,0.019399914890527725,0.0,0
chal-502,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,1.0,Local_Fn,70.0,1,0.02159993164241314,0.0,0
chal-761,( ( 19.0 + 4.0 ) * 15.0 ),345,Multiplication,1.0,Local_Fn,345.0,1,0.024399952962994576,0.0,0.00390625
chal-50,( 415.0 - 149.0 ),266,Subtraction,0.5,Local_Fn,266.0,1,0.019700033590197563,0.0,0
chal-733,( 270.0 / 5.0 ),54,Common-Division,0.5,Local_Fn,54.0,1,0.018999911844730377,0.0,0
chal-337,( 841.0 - 34.0 ),807,Subtraction,0.5,Local_Fn,807.0,1,0.01910002902150154,0.0,0
chal-451,( 54.0 / 18.0 ),3,Common-Division,0.5,Local_Fn,3.0,1,0.022799940779805183,0.0,0
chal-791,( 58.0 - 46.0 ),12,Subtraction,0.5,Local_Fn,12.0,1,0.022500054910779,0.0,0
chal-351,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction,1.0,Local_Fn,23.0,1,0.02219993621110916,0.0,0
chal-468,( 67.0 - 36.0 ),31,Subtraction,0.5,Local_Fn,31.0,1,0.019700033590197563,0.0,0
chal-623,( 610769.0 + 590796.0 ),1201565,Addition,0.5,Local_Fn,1201565.0,1,0.021899817511439323,0.0,0
chal-477,( 178.0 / 2.0 ),89,Common-Division,0.5,Local_Fn,89.0,1,0.01929979771375656,0.0,0
chal-615,( 557.0 + 17.0 ),574,Addition,0.5,Local_Fn,574.0,1,0.019399914890527725,0.0,0
chal-555,8.0,8,Common-Division,0.0,Local_Fn,8.0,1,0.016800127923488617,0.0,0
chal-366,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition,1.0,Local_Fn,146.0,1,0.024800188839435577,0.0,0.00390625
chal-771,( ( 14.0 - 4.0 ) - 9.0 ),1,Subtraction,1.0,Local_Fn,1.0,1,0.021900050342082977,0.0,0
chal-631,( 34.0 - 20.0 ),14,Subtraction,0.5,Local_Fn,14.0,1,0.019399914890527725,0.0,0
chal-941,( 18.0 / 9.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.01850002445280552,0.0,0
chal-798,( 14.0 / 2.0 ),7,Common-Division,0.5,Local_Fn,7.0,1,0.018700025975704193,0.0,0
