ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,Invocations,CPU_Cycles,RAM_Peak_MB,Env_Status,Network_Bytes_Sent/Received
chal-777,( 290.0 / 2.0 ),145,Common-Division,0.5,API_REST_Wolfram,145.0,1,1206.254000077024,1,0.40625,2.015625,API_OK,96/2371
chal-508,( 30.0 - 11.0 ),19,Subtraction,0.5,API_REST_Wolfram,19.0,1,513.5579998604953,1,0.015625,0,API_OK,96/2828
chal-896,( 6.0 / 2.0 ),3,Common-Division,0.5,API_REST_Wolfram,3.0,1,427.4158999323845,1,0.015625,0.0078125,API_OK,94/2285
chal-923,( 594.0 / 3.0 ),198,Common-Division,0.5,API_REST_Wolfram,198.0,1,401.77070000208914,1,0.0,0.03125,API_OK,96/2362
chal-34,( 78.0 - 15.0 ),63,Subtraction,0.5,API_REST_Wolfram,63.0,1,525.4891000222415,1,0.0,0,API_OK,96/2841
chal-484,( 412.0 - 90.0 ),322,Subtraction,0.5,API_REST_Wolfram,322.0,1,471.32159979082644,1,0.015625,0.015625,API_OK,97/2897
chal-86,( 50.0 - 20.0 ),30,Subtraction,0.5,API_REST_Wolfram,30.0,1,473.7555000465363,1,0.0,0,API_OK,96/2807
chal-751,( 66.0 + 126.0 ),192,Addition,0.5,API_REST_Wolfram,192.0,1,415.6667999923229,1,0.0,0,API_OK,97/2328
chal-355,( 12.0 + 14.0 ),26,Addition,0.5,API_REST_Wolfram,26.0,1,411.2032998818904,1,0.0,0.015625,API_OK,96/2285
chal-524,( 34.0 / 2.0 ),17,Common-Division,0.5,API_REST_Wolfram,17.0,1,455.0158998463303,1,0.0,0,API_OK,95/2306
chal-185,( 15.0 - 14.0 ),1,Subtraction,0.5,API_REST_Wolfram,1.0,1,443.5604000464082,1,0.0,0.01171875,API_OK,96/2261
chal-810,( 14.0 + 6.0 ),20,Addition,0.5,API_REST_Wolfram,20.0,1,461.0937999095768,1,0.0,0.01171875,API_OK,95/2812
chal-419,( 104.0 / 26.0 ),4,Common-Division,0.5,API_REST_Wolfram,4.0,1,442.80960015021265,1,0.0,0.00390625,API_OK,97/2294
chal-616,( 7.0 - ( 3.0 + 2.0 ) ),2,Subtraction,1.0,API_REST_Wolfram,2.0,1,466.1725000478327,1,0.0,0,API_OK,112/2305
chal-683,( 91.0 / 13.0 ),7,Common-Division,0.5,API_REST_Wolfram,7.0,1,463.2845998276025,1,0.015625,0.015625,API_OK,96/2299
chal-502,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,1.0,API_REST_Wolfram,70.0,1,493.84120013564825,1,0.0,0.01953125,API_OK,113/2327
chal-761,( ( 19.0 + 4.0 ) * 15.0 ),345,Multiplication,1.0,API_REST_Wolfram,345.0,1,451.84469991363585,1,0.0,0,API_OK,114/2390
chal-50,( 415.0 - 149.0 ),266,Subtraction,0.5,API_REST_Wolfram,266.0,1,459.6599000506103,1,0.0,0.0234375,API_OK,98/2894
chal-733,( 270.0 / 5.0 ),54,Common-Division,0.5,API_REST_Wolfram,54.0,1,427.38499981351197,1,0.0,0,API_OK,96/2317
chal-337,( 841.0 - 34.0 ),807,Subtraction,0.5,API_REST_Wolfram,807.0,1,474.1952000185847,1,0.0,0,API_OK,97/2895
chal-451,( 54.0 / 18.0 ),3,Common-Division,0.5,API_REST_Wolfram,3.0,1,407.51209994778037,1,0.0,0.015625,API_OK,96/2295
chal-791,( 58.0 - 46.0 ),12,Subtraction,0.5,API_REST_Wolfram,12.0,1,468.6656000558287,1,0.0,0,API_OK,96/2273
chal-351,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction,1.0,API_REST_Wolfram,23.0,1,460.259199840948,1,0.015625,0.0078125,API_OK,114/2343
chal-468,( 67.0 - 36.0 ),31,Subtraction,0.5,API_REST_Wolfram,31.0,1,428.02540003322065,1,0.0,0.015625,API_OK,96/2289
chal-623,( 610769.0 + 590796.0 ),1201565,Addition,0.5,API_REST_Wolfram,1201565.0,1,439.1162998508662,1,0.03125,0.0078125,API_OK,104/2655
chal-477,( 178.0 / 2.0 ),89,Common-Division,0.5,API_REST_Wolfram,89.0,1,431.2864998355508,1,0.0,0,API_OK,96/2315
chal-615,( 557.0 + 17.0 ),574,Addition,0.5,API_REST_Wolfram,574.0,1,475.58660013601184,1,0.0,0.0078125,API_OK,97/2897
chal-555,8.0,8,Common-Division,0.0,API_REST_Wolfram,8.0,1,390.4884997755289,1,0.0,0.00390625,API_OK,76/1810
chal-366,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition,1.0,API_REST_Wolfram,146.0,1,456.7081998102367,1,0.0,0,API_OK,115/2358
chal-771,( ( 14.0 - 4.0 ) - 9.0 ),1,Subtraction,1.0,API_REST_Wolfram,1.0,1,470.80680006183684,1,0.0,0.01171875,API_OK,113/2293
chal-631,( 34.0 - 20.0 ),14,Subtraction,0.5,API_REST_Wolfram,14.0,1,421.73689999617636,1,0.0,0.015625,API_OK,96/2279
chal-941,( 18.0 / 9.0 ),2,Common-Division,0.5,API_REST_Wolfram,2.0,1,415.8014999702573,1,0.0,0,API_OK,95/2285
chal-798,( 14.0 / 2.0 ),7,Common-Division,0.5,API_REST_Wolfram,7.0,1,415.4470998328179,1,0.0,0.01953125,API_OK,95/2305
chal-497,( 28.0 - 16.0 ),12,Subtraction,0.5,API_REST_Wolfram,12.0,1,421.2450999766588,1,0.015625,0.0078125,API_OK,96/2273
