ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,CPU_Time_ms,RAM_Peak_MB,Request_Size_Bytes,Response_Size_Bytes,HTTP_Status_Code,SOAP_Fault_Flag,Retry_Count,SOAP_Calls_Count
chal-777,( 290.0 / 2.0 ),145,Common-Division,0.4938,SOAP_Calculator,145.0,1,96.25199995934963,0.0,0,304,253,200,0,0,1
chal-508,( 30.0 - 11.0 ),19,Subtraction,0.4938,SOAP_Calculator,19.0,1,94.24019977450371,15.625,0.0234375,304,252,200,0,0,1
chal-896,( 6.0 / 2.0 ),3,Common-Division,0.4632,SOAP_Calculator,3.0,1,95.35229997709394,31.25,0.0078125,302,251,200,0,0,1
chal-923,( 594.0 / 3.0 ),198,Common-Division,0.4938,SOAP_Calculator,198.0,1,97.13249979540706,0.0,0.0390625,304,253,200,0,0,1
chal-34,( 78.0 - 15.0 ),63,Subtraction,0.4938,SOAP_Calculator,63.0,1,96.99820005334914,0.0,0.0390625,304,252,200,0,0,1
chal-484,( 412.0 - 90.0 ),322,Subtraction,0.5091,SOAP_Calculator,322.0,1,93.6843000818044,0.0,0.0078125,305,253,200,0,0,1
chal-86,( 50.0 - 20.0 ),30,Subtraction,0.4938,SOAP_Calculator,30.0,1,94.1203001420945,0.0,0.01171875,304,252,200,0,0,1
chal-751,( 66.0 + 126.0 ),192,Addition,0.5091,SOAP_Calculator,192.0,1,97.64029993675649,15.625,0.015625,305,253,200,0,0,1
chal-355,( 12.0 + 14.0 ),26,Addition,0.4938,SOAP_Calculator,26.0,1,97.34890004619956,0.0,0.03515625,304,252,200,0,0,1
chal-524,( 34.0 / 2.0 ),17,Common-Division,0.4785,SOAP_Calculator,17.0,1,94.44719995371997,0.0,0.00390625,303,252,200,0,0,1
chal-185,( 15.0 - 14.0 ),1,Subtraction,0.4938,SOAP_Calculator,1.0,1,94.3567999638617,0.0,0.03515625,304,251,200,0,0,1
chal-810,( 14.0 + 6.0 ),20,Addition,0.4785,SOAP_Calculator,20.0,1,94.17270007543266,0.0,0,303,252,200,0,0,1
chal-419,( 104.0 / 26.0 ),4,Common-Division,0.5091,SOAP_Calculator,4.0,1,94.7972999420017,0.0,0.05078125,305,251,200,0,0,1
chal-616,( 7.0 - ( 3.0 + 2.0 ) ),2,Subtraction,0.9265,SOAP_Calculator,2.0,1,198.67229997180402,15.625,0.0859375,604,502,200,0,0,2
chal-683,( 91.0 / 13.0 ),7,Common-Division,0.4938,SOAP_Calculator,7.0,1,98.35730004124343,0.0,0,304,251,200,0,0,1
chal-502,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,0.937,SOAP_Calculator,70.0,1,191.31479994393885,0.0,0.01953125,605,503,200,0,0,2
chal-761,( ( 19.0 + 4.0 ) * 15.0 ),345,Multiplication,0.9475,SOAP_Calculator,345.0,1,190.20260008983314,0.0,0.03515625,607,505,200,0,0,2
chal-50,( 415.0 - 149.0 ),266,Subtraction,0.5244,SOAP_Calculator,266.0,1,92.73630008101463,0.0,0.05078125,306,253,200,0,0,1
