ID,Equation,Answer,Type,Complexity
chal-777,( 290.0 / 2.0 ),145,Common-Division,0.4938
chal-508,( 30.0 - 11.0 ),19,Subtraction,0.4938
chal-896,( 6.0 / 2.0 ),3,Common-Division,0.4632
chal-923,( 594.0 / 3.0 ),198,Common-Division,0.4938
chal-34,( 78.0 - 15.0 ),63,Subtraction,0.4938
chal-484,( 412.0 - 90.0 ),322,Subtraction,0.5091
chal-86,( 50.0 - 20.0 ),30,Subtraction,0.4938
chal-751,( 66.0 + 126.0 ),192,Addition,0.5091
chal-355,( 12.0 + 14.0 ),26,Addition,0.4938
chal-524,( 34.0 / 2.0 ),17,Common-Division,0.4785
chal-185,( 15.0 - 14.0 ),1,Subtraction,0.4938
chal-810,( 14.0 + 6.0 ),20,Addition,0.4785
chal-419,( 104.0 / 26.0 ),4,Common-Division,0.5091
chal-616,( 7.0 - ( 3.0 + 2.0 ) ),2,Subtraction,0.9265
chal-683,( 91.0 / 13.0 ),7,Common-Division,0.4938
chal-502,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,0.937
chal-761,( ( 19.0 + 4.0 ) * 15.0 ),345,Multiplication,0.9475
chal-50,( 415.0 - 149.0 ),266,Subtraction,0.5244
chal-733,( 270.0 / 5.0 ),54,Common-Division,0.4938
chal-337,( 841.0 - 34.0 ),807,Subtraction,0.5091
chal-451,( 54.0 / 18.0 ),3,Common-Division,0.4938
chal-791,( 58.0 - 46.0 ),12,Subtraction,0.4938
chal-351,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction,0.9475
chal-468,( 67.0 - 36.0 ),31,Subtraction,0.4938
chal-623,( 610769.0 + 590796.0 ),1201565,Addition,0.616
chal-477,( 178.0 / 2.0 ),89,Common-Division,0.4938
chal-615,( 557.0 + 17.0 ),574,Addition,0.5091
chal-555,8.0,8,Common-Division,0.0
chal-366,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition,0.958
chal-771,( ( 14.0 - 4.0 ) - 9.0 ),1,Subtraction,0.937
chal-631,( 34.0 - 20.0 ),14,Subtraction,0.4938
chal-941,( 18.0 / 9.0 ),2,Common-Division,0.4785
chal-798,( 14.0 / 2.0 ),7,Common-Division,0.4785
chal-497,( 28.0 - 16.0 ),12,Subtraction,0.4938
chal-925,( 13.0 + 8.0 ),21,Addition,0.4785
chal-370,( ( 17.0 - 10.0 ) + 7.0 ),14,Addition,0.9475
chal-597,( 14.0 / 7.0 ),2,Common-Division,0.4785
chal-721,( 71.0 - 20.0 ),51,Subtraction,0.4938
chal-54,( 22.0 / 11.0 ),2,Common-Division,0.4938
chal-427,( 30.0 / 2.0 ),15,Common-Division,0.4785
chal-57,( 6.0 + 14.0 ),20,Addition,0.4785
chal-265,( 7.0 - 4.0 ),3,Subtraction,0.4632
chal-773,( 10.0 - 3.0 ),7,Subtraction,0.4785
chal-186,( 106.0 - 64.0 ),42,Subtraction,0.5091
chal-467,( 382.0 + 374.0 ),756,Addition,0.5244
chal-790,( 42.0 - 31.0 ),11,Subtraction,0.4938
chal-175,( 8.0 - 3.0 ),5,Subtraction,0.4632
chal-151,( ( 14.0 - 8.0 ) * 2.0 ),12,Multiplication,0.937
chal-742,( ( 6.0 + 7.0 ) * 5.0 ),65,Multiplication,0.9265
chal-114,( 5.0 - 4.0 ),1,Subtraction,0.4632
chal-429,( 555.0 / 5.0 ),111,Common-Division,0.4938
chal-966,( 40.0 - 39.0 ),1,Subtraction,0.4938
chal-19,( 57.0 - 30.0 ),27,Subtraction,0.4938
chal-190,( 6.0 - 2.0 ),4,Subtraction,0.4632
chal-415,( 28.0 - 11.0 ),17,Subtraction,0.4938
chal-590,( 6.0 + 7.0 ),13,Addition,0.4632
chal-667,( 4.0 + 6.0 ),10,Addition,0.4632
chal-764,( 308.0 - 231.0 ),77,Subtraction,0.5244
chal-222,( 78.0 * ( 186.0 - 172.0 ) ),1092,Multiplication,0.979
chal-587,( ( 16.0 - 21.0 ) + 10.0 ),5,Addition,0.958
chal-582,( 5.0 + 2.0 ),7,Addition,0.4632
chal-300,( ( 25.0 + 18.0 ) + 2.0 ),45,Addition,0.9475
chal-639,( 2.0 + 8.0 ),10,Addition,0.4632
chal-387,( 26.0 * 2.0 ),52,Multiplication,0.4785
chal-365,( 5.0 - 3.0 ),2,Subtraction,0.4632
chal-880,( ( 26.0 - 10.0 ) - 10.0 ),6,Subtraction,0.958
chal-335,( 10.0 + 6.0 ),16,Addition,0.4785
chal-17,( 697.0 - 228.0 ),469,Subtraction,0.5244
chal-203,( 22.0 * 569.0 ),12518,Multiplication,0.5091
chal-2,( 4.0 - 3.0 ),1,Subtraction,0.4632
chal-39,( 356.0 / 178.0 ),2,Common-Division,0.5244
chal-291,( 197.0 - 66.0 ),131,Subtraction,0.5091
chal-494,( 106.0 - 14.0 ),92,Subtraction,0.5091
chal-248,( 32.0 * 20.0 ),640,Multiplication,0.4938
chal-507,( 108.0 - 66.0 ),42,Subtraction,0.5091
chal-897,( ( 28.0 + 14.0 ) / 6.0 ),7,Common-Division,0.9475
chal-714,( 97.0 - 72.0 ),25,Subtraction,0.4938
chal-892,( 8.0 - 7.0 ),1,Subtraction,0.4632
chal-77,( 4.0 - 2.0 ),2,Subtraction,0.4632
chal-912,( 158.0 - 147.0 ),11,Subtraction,0.5244
chal-793,( ( 2.0 + 3.0 ) + 10.0 ),15,Addition,0.937
chal-509,( 5.0 + 15.0 ),20,Addition,0.4785
chal-178,( 98.0 * 89.0 ),8722,Multiplication,0.4938
chal-843,( 120.0 / 24.0 ),5,Common-Division,0.5091
chal-201,( 4.0 + 79.0 ),83,Addition,0.4785
chal-766,( 203.0 / 7.0 ),29,Common-Division,0.4938
chal-910,( 36.0 + 17.0 ),53,Addition,0.4938
chal-294,( 6.0 - 3.0 ),3,Subtraction,0.4632
chal-539,( 21.0 + 12.0 ),33,Addition,0.4938
chal-25,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,0.9265
chal-695,( 7.0 + 9.0 ),16,Addition,0.4632
chal-211,( 78.0 - 31.0 ),47,Subtraction,0.4938
chal-425,( ( 51.0 - 8.0 ) * 130.0 ),5590,Multiplication,0.958
chal-529,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,0.937
chal-35,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,0.937
chal-929,( ( 10.0 * 6.0 ) - 11.0 ),49,Subtraction,0.9475
chal-399,( ( 35.0 - 13.0 ) - 13.0 ),9,Subtraction,0.958
chal-608,( 126.0 - 48.0 ),78,Subtraction,0.5091
chal-299,( ( 17.0 + 15.0 ) + 2.0 ),34,Addition,0.9475
chal-849,( ( 11.0 - 2.0 ) - 2.0 ),7,Subtraction,0.937
chal-669,( 92.0 - 68.0 ),24,Subtraction,0.4938
chal-283,( 13.0 + 21.0 ),34,Addition,0.4938
chal-940,( 12.0 - 2.0 ),10,Subtraction,0.4785
chal-945,( 28.0 / 2.0 ),14,Common-Division,0.4785
chal-607,( 4.0 + 6.0 ),10,Addition,0.4632
chal-960,( 90.0 / 6.0 ),15,Common-Division,0.4785
chal-935,( 27.0 * 23.0 ),621,Multiplication,0.4938
chal-732,( 3.0 - 2.0 ),1,Subtraction,0.4632
chal-288,( 9.0 - 7.0 ),2,Subtraction,0.4632
chal-528,( 154.0 / 11.0 ),14,Common-Division,0.5091
chal-808,( 32.0 / 4.0 ),8,Common-Division,0.4785
chal-230,( 4.0 / 2.0 ),2,Common-Division,0.4632
chal-437,( 8.0 + 6.0 ),14,Addition,0.4632
chal-29,( 40.0 + 49.0 ),89,Addition,0.4938
chal-375,( 33.0 - 13.0 ),20,Subtraction,0.4938
chal-820,( 133.0 / 19.0 ),7,Common-Division,0.5091
chal-317,( 6.0 - 5.0 ),1,Subtraction,0.4632
chal-561,( ( 6.0 + 7.0 ) + 3.0 ),16,Addition,0.9265
chal-242,( 81.0 - 60.0 ),21,Subtraction,0.4938
chal-150,( 16.0 - 13.0 ),3,Subtraction,0.4938
chal-517,( ( 3.0 + 6.0 ) - 4.0 ),5,Subtraction,0.9265
chal-418,( 5.0 + 4.0 ),9,Addition,0.4632
chal-661,( 19.0 * 4.0 ),76,Multiplication,0.4785
chal-199,( 2.0 * 14.0 ),28,Multiplication,0.4785
chal-586,( 14.0 + 16.0 ),30,Addition,0.4938
chal-326,( 38.0 / 2.0 ),19,Common-Division,0.4785
chal-824,( 36.0 / 18.0 ),2,Common-Division,0.4938
chal-703,( 39.0 - 17.0 ),22,Subtraction,0.4938
chal-950,( 23.0 - 16.0 ),7,Subtraction,0.4938
chal-516,( 28.0 * ( 24.0 / 16.0 ) ),42,Multiplication,0.958
chal-865,( 33.0 - 19.0 ),14,Subtraction,0.4938
chal-837,( 288.0 - 264.0 ),24,Subtraction,0.5244
chal-878,( 31.0 - 23.0 ),8,Subtraction,0.4938
chal-360,( 9.0 + 18.0 ),27,Addition,0.4785
chal-595,( ( 25.0 + 32.0 ) - 26.0 ),31,Subtraction,0.958
chal-789,( 5.0 - 3.0 ),2,Subtraction,0.4632
chal-189,( 42.0 / 2.0 ),21,Common-Division,0.4785
chal-67,( 8.0 / 2.0 ),4,Common-Division,0.4632
chal-356,( 8.0 * 10.0 ),80,Multiplication,0.4785
chal-800,( 6.0 - 3.0 ),3,Subtraction,0.4632
chal-903,( 8.0 - 6.0 ),2,Subtraction,0.4632
chal-921,( 12.0 - 5.0 ),7,Subtraction,0.4785
chal-943,( 15.0 - 14.0 ),1,Subtraction,0.4938
chal-331,( ( 79.0 - 24.0 ) - 51.0 ),4,Subtraction,0.958
chal-728,( 12.0 - ( 21.0 - 13.0 ) ),4,Subtraction,0.958
chal-397,( 16.0 * 2.0 ),32,Multiplication,0.4785
chal-464,( 63.0 - 3.0 ),60,Subtraction,0.4785
chal-394,( 36.0 / 4.0 ),9,Common-Division,0.4785
chal-312,( ( 100.0 + 148.0 ) - 159.0 ),89,Subtraction,0.9895
chal-681,( 87.0 + 18.0 ),105,Addition,0.4938
chal-745,( 21.0 - 4.0 ),17,Subtraction,0.4785
chal-922,( 44.0 - 39.0 ),5,Subtraction,0.4938
chal-462,( ( 12.0 - 2.0 ) - 7.0 ),3,Subtraction,0.937
chal-523,( ( 33.0 - 24.0 ) / 9.0 ),1,Common-Division,0.9475
chal-632,( 79.0 - 53.0 ),26,Subtraction,0.4938
chal-491,( 20.0 - 4.0 ),16,Subtraction,0.4785
chal-196,( 4.0 * 7.0 ),28,Multiplication,0.4632
chal-257,( 2.0 + 12.0 ),14,Addition,0.4785
chal-694,( 9.0 - ( 14.0 - 9.0 ) ),4,Subtraction,0.937
chal-741,( 40.0 / 2.0 ),20,Common-Division,0.4785
chal-578,( 133.0 - 51.0 ),82,Subtraction,0.5091
chal-158,( 37.0 - 16.0 ),21,Subtraction,0.4938
chal-613,( 60.0 - 7.0 ),53,Subtraction,0.4785
chal-393,( 42.0 - 29.0 ),13,Subtraction,0.4938
chal-970,( 10.0 / 5.0 ),2,Common-Division,0.4785
chal-689,( 98.0 / 7.0 ),14,Common-Division,0.4785
chal-362,( 16.0 / 4.0 ),4,Common-Division,0.4785
chal-817,( 16.0 - 14.0 ),2,Subtraction,0.4938
chal-402,( 8.0 - 5.0 ),3,Subtraction,0.4632
chal-93,( ( 40.0 - 5.0 ) - 13.0 ),22,Subtraction,0.9475
chal-918,( 528.0 - 252.0 ),276,Subtraction,0.5244
chal-490,( 54.0 - 29.0 ),25,Subtraction,0.4938
chal-452,( 25.0 / 5.0 ),5,Common-Division,0.4785
chal-252,( 144.0 - 79.0 ),65,Subtraction,0.5091
