Problem_ID,Expression,Complexity_Score,Expected_Answer,Method_Used,Actual_Answer,Is_Correct,Latency_ms,Invocations,Token_Count,CPU_Cycles,RAM_Peak_MB,Env_Status,Decision_Logic_Time,Network_Bytes_Sent/Received
1,14 + 18 / 2 * 18 - 7,1.0,169.0,Local_Fn,169.0,1.0,0.03270001616328955,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
2,15 * 18 + 12 / 3 + 9,1.0,283.0,Local_Fn,283.0,1.0,0.02529995981603861,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
3,8 * 4 + 9 - 9 + 18,1.0,50.0,Local_Fn,50.0,1.0,0.022400054149329662,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
4,11 * 11 - 6 * 17 + 4,1.0,23.0,Local_Fn,23.0,1.0,0.02189993392676115,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
5,2 - 1 + 5 * 4 * 11,1.0,221.0,Local_Fn,221.0,1.0,0.020600040443241596,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
6,16 * 7 * 15 + 11 + 17,1.0,1708.0,Local_Fn,1708.0,1.0,0.020999927073717117,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
7,10 - 9 * 24 / 8 * 6,1.0,-152.0,Local_Fn,-152.0,1.0,0.02119992859661579,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
8,10 / 5 + 10 - 9 * 11,1.0,-87.0,Local_Fn,-87.0,1.0,0.021799933165311813,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
9,3 * 19 * 14 + 18 / 2,1.0,807.0,Local_Fn,807.0,1.0,0.02119992859661579,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
10,10 * 12 - 14 / 2 + 15,1.0,128.0,Local_Fn,128.0,1.0,0.021499930880963802,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
11,14 / 2+2 - 1 + 5 * 4 * 11 - 1 + 3,1.9473684210526316,230.0,Local_Fn,230.0,1.0,0.028699985705316067,1.0,0.0,0.0,0.0078125,Library_Available,0.0,0.0
12,9 + 15-10 - 9 * 24 / 8 * 6 / 5 * 13,1.9473684210526316,-407.2,Local_Fn,-407.2,1.0,0.023999949917197227,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
13,12 / 3 * 12 +11 * 11 - 6 * 17 + 4 +10,1.9473684210526316,81.0,Local_Fn,81.0,1.0,0.024399952962994576,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
14,16 * 15 / 5+2 + 24 / 8 * 6- 1 + 5 + 12,2.1842105263157894,84.0,Local_Fn,84.0,1.0,0.024700071662664413,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
15,2 * 10 + 10 - 8*10 / 5 + 10+ 5 * 4 * 11,2.1842105263157894,244.0,Local_Fn,244.0,1.0,0.0295999925583601,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
16,24 / 4 + 14 * 2/ 5 + 10 - 9 * 11 * 17 + 4,2.1842105263157894,-1657.4,Local_Fn,-1657.4,1.0,0.0252000754699111,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
17,11 * 10 - 12 / 3/ 4 + 14 * 2/ 3 * 12 + 10,2.1842105263157894,231.0,Local_Fn,231.0,1.0,0.0241999514400959,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
